"countriesAndTerritories","cases","deaths","Code","acumulat","popData2019","continentExp"
"Afghanistan",49273,1971,"AFG",1750.30296312,38041757,"Asia"
"Albania",48530,1003,"ALB",21166.8978807,2862427,"Europe"
"Algeria",92102,2596,"DZA",2867.46440813,43053054,"Africa"
"Andorra",7338,79,"AND",128373.39354415,76177,"Europe"
"Angola",16188,371,"AGO",688.42401129,31825299,"Africa"
"Anguilla",10,0,"AIA",564.81979565,14872,"America"
"Antigua_and_Barbuda",148,4,"ATG",2037.790249,97115,"America"
"Argentina",1498160,40766,"ARG",45773.53512426,44780675,"America"
"Armenia",148682,2503,"ARM",67602.8356901,2957728,"Europe"
"Aruba",5049,46,"ABW",64967.5477377,106310,"America"
"Australia",28031,908,"AUS",1553.64398175,25203200,"Oceania"
"Austria",320036,4400,"AUT",47608.90755201,8858775,"Europe"
"Azerbaijan",175874,1922,"AZE",20668.91998071,10047719,"Europe"
"Bahamas",7674,163,"BHS",27251.81392927,389486,"America"
"Bahrain",89143,348,"BHR",75100.17280418,1641164,"Asia"
"Bangladesh",490533,7052,"BGD",4109.13355201,163046173,"Asia"
"Barbados",292,7,"BRB",1325.68697071,287021,"America"
"Belarus",160295,1263,"BLR",21937.1590882,9452409,"Europe"
"Belgium",608001,17951,"BEL",72555.22861952,11455519,"Europe"
"Belize",9295,195,"BLZ",27729.40251209,390351,"America"
"Benin",3090,44,"BEN",363.15949181,11801151,"Africa"
"Bermuda",431,9,"BMU",6883.91885827,62508,"America"
"Bhutan",438,0,"BTN",781.03090834,763094,"Asia"
"Bolivia",147150,9018,"BOL",17725.01450958,11513102,"America"
"Bonaire, Saint Eustatius and Saba",173,3,"BES",8890.42835687,25983,"America"
"Bosnia_and_Herzegovina",101117,3336,"BIH",40202.75080443,3300998,"Europe"
"Botswana",12501,37,"BWA",6865.90241879,2303703,"Africa"
"Brazil",6901952,181402,"BRA",43965.2984946,211049519,"America"
"British_Virgin_Islands",76,1,"VGB",3323.01135443,30033,"America"
"Brunei_Darussalam",152,3,"BRN",335.33658262,433296,"Asia"
"Bulgaria",179449,5688,"BGR",32798.97440562,7000039,"Europe"
"Burkina_Faso",4030,71,"BFA",227.5042008,20321383,"Africa"
"Burundi",729,1,"BDI",85.26893325,11530577,"Africa"
"Cambodia",359,0,"KHM",29.3997369,16486542,"Asia"
"Cameroon",25143,443,"CMR",1340.55809262,25876387,"Africa"
"Canada",460743,13431,"CAN",15685.87324419,37411038,"America"
"Cape_Verde",11357,110,"CPV",28127.63667047,549936,"Africa"
"Cases_on_an_international_conveyance_Japan",696,7,"",0,NA,"Other"
"Cayman_Islands",298,2,"CYM",6140.29685295,64948,"America"
"Central_African_Republic",4936,63,"CAF",1452.2107596,4745179,"Africa"
"Chad",1770,102,"TCD",151.20824231,15946882,"Africa"
"Chile",571919,15886,"CHL",41453.17376198,18952035,"America"
"China",92021,4739,"CHN",89.71116131,1433783692,"Asia"
"Colombia",1425774,39053,"COL",38159.76668632,50339443,"America"
"Comoros",628,7,"COM",1004.47648397,850891,"Africa"
"Congo",6049,99,"COG",1527.19893895,5380504,"Africa"
"Costa_Rica",150947,1895,"CRI",40405.59390969,5047561,"America"
"Cote_dIvoire",21680,133,"CIV",1168.81523093,25716554,"Africa"
"Croatia",175886,2640,"HRV",52070.18909069,4076246,"Europe"
"Cuba",9423,137,"CUB",1090.91785015,11333484,"America"
"Curaçao",3624,11,"CUW",26127.90121328,163423,"America"
"Cyprus",15101,78,"CYP",20343.66976098,875899,"Europe"
"Czechia",581079,9609,"CZE",72602.39628918,10649800,"Europe"
"Democratic_Republic_of_the_Congo",14512,355,"COD",220.74748949,86790568,"Africa"
"Denmark",109758,941,"DNK",22442.69413391,5806081,"Europe"
"Djibouti",5728,61,"DJI",8190.07002154,973557,"Africa"
"Dominica",87,0,"DMA",1505.40329757,71808,"America"
"Dominican_Republic",154692,2361,"DOM",19402.84331154,10738957,"America"
"Ecuador",202110,13875,"ECU",15943.62660662,17373657,"America"
"Egypt",121575,6920,"EGY",1654.95252636,100388076,"Africa"
"El_Salvador",41880,1205,"SLV",8738.9576279,6453550,"America"
"Equatorial_Guinea",5185,85,"GNQ",5331.63419562,1355982,"Africa"
"Eritrea",711,0,"ERI",251.5500625,3497117,"Africa"
"Estonia",18055,149,"EST",15913.25614047,1324820,"Europe"
"Eswatini",6768,127,"SWZ",7990.3634859,1148133,"Africa"
"Ethiopia",116769,1806,"ETH",1417.10032103,112078727,"Africa"
"Falkland_Islands_(Malvinas)",19,0,"FLK",5427.04626333,3372,"America"
"Faroe_Islands",528,0,"FRO",14596.2158718,48677,"Europe"
"Fiji",46,2,"FJI",63.03689506,889955,"Oceania"
"Finland",30810,453,"FIN",7069.05991182,5517919,"Europe"
"France",2376852,57911,"FRA",47988.98593872,67012883,"Europe"
"French_Polynesia",15618,91,"PYF",75449.80933456,279285,"Oceania"
"Gabon",9330,63,"GAB",5973.22627778,2172578,"Africa"
